*** Epoch: 0 ***

Queue: [0, 0, 0, 0, 0, 0, 3, 3, 6, 11, 12, 17, 17, 24, 25, 25, 11, 7, 10, 14, 15, 19, 20, 27, 30, 37, 40, 38, 41, 45, 33, 32, 28, 24, 30, 35, 37, 43, 45, 46, 44, 49, 49, 57, 61, 56, 49, 40, 27, 25, 17, 19, 22, 28, 27, 35, 39, 49, 45, 49]

Speed: [30.0, 29.20669022101111, 29.040192521678136, 26.785247297292244, 25.839849982476156, 22.98394791596905, 22.54498444708988, 20.611394675280984, 20.67207182219357, 18.058296526486032, 18.355224135790593, 15.493952874499795, 15.48239885525554, 11.36253044449615, 11.1068147150392, 8.615739816229627, 10.35413709771293, 11.009010831271112, 14.21096914048364, 14.91475567633852, 16.906244553861697, 15.936585630830667, 15.99892023464222, 13.182668940119106, 12.399453097729426, 9.445936319400788, 9.466726200814483, 7.956776805731058, 9.03726348608713, 8.112540943002978, 9.227971012230187, 8.931007740996852, 10.521749887847424, 10.376034386270234, 11.709854579461211, 11.71703917666913, 12.796527641105468, 11.73893530252732, 11.681783730927316, 10.296526374412965, 10.584955736531551, 9.443611854110733, 9.473405852660761, 7.626505428769406, 6.73702165354292, 5.443065418153713, 7.019315612057027, 7.429085430293129, 9.673268991473671, 10.571864501985612, 12.897959633638038, 13.05159794120738, 14.16740686476579, 12.83546020028782, 12.591817195687351, 10.797437291003348, 10.732658296533026, 8.763923067802915, 9.04618202698966, 7.982367389399516]

Return: [0.0, 0.0, 0.0, -2.0, -2.0, -3.9460950649911046, -3.9460950649911046, -6.7544875832668625, -6.7544875832668625, -9.785643874060641, -9.785643874060641, -12.986988282504898, -12.986988282504898, -17.828045883600335, -15.297296614612147, -17.743391679603253, -14.502158351174257, -14.228873220959965, -9.403185938263897, -9.785643874060641, -9.785643874060641, -12.986988282504898, -14.297296614612147, -19.192626150525268, -23.37334145637737, -27.76706851316206, -28.68750732973959, -29.672519398553654, -29.843260866117596, -29.682201932004904, -26.73818317608655, -28.724041926306537, -25.929383313476624, -23.177924569141688, -18.706972169495423, -17.612024260856593, -20.243758195617943, -23.667608640113748, -26.40150715864289, -27.727450237120657, -30.580795463564066, -30.95309428582923, -33.94168181197506, -36.63673872242978, -35.73907852196912, -36.75942427625034, -35.78158176325897, -32.38735038915311, -28.92430088555046, -25.71006237137423, -21.129600192521405, -19.403085842881975, -18.0344894334587, -21.831641972071054, -25.027232878147352, -29.545492726435707, -33.312949403421314, -34.70561671480787, -36.300078639942924, -36.58271903531315]

Queue: [0, 0, 0, 0, 1, 0, 3, 3, 6, 7, 10, 14, 15, 19, 19, 17, 8, 8, 11, 16, 18, 22, 22, 26, 26, 30, 30, 34, 34, 38, 25, 26, 19, 20, 18, 21, 18, 21, 22, 26, 27, 30, 28, 33, 34, 37, 32, 34, 32, 36, 36, 40, 40, 44, 38, 39, 37, 41, 37, 39]

Speed: [30.0, 29.117577648127682, 28.994889613259307, 27.207724082540082, 24.447087264557513, 21.713820963049642, 21.798894715849634, 20.292255479536855, 20.667135846768012, 18.791651517416163, 19.624543812518244, 17.82161301008654, 18.170043623954328, 14.540770763821534, 13.992880236400365, 11.243128229580288, 12.190197437133916, 11.796807036942006, 14.2036706528327, 14.735255078317888, 16.737917561232386, 16.380844997522136, 17.068101148383473, 16.06285497203221, 16.295994425252722, 14.238240395443079, 14.428219561127987, 11.868277643098924, 12.31034306987678, 9.080437713666653, 10.128941057259665, 9.343690695626401, 11.550922581295943, 10.77571806582581, 12.782419608490954, 13.136014004442469, 15.114005994719626, 15.033672705678166, 15.859365226736806, 15.521977731480069, 14.970942340051211, 12.698448804056477, 12.041884818286123, 9.783288345125348, 9.481212356352161, 8.375818219753778, 10.070659197079806, 10.135463726124952, 11.828640511127823, 11.468963678805002, 12.844529690118959, 12.240019287855505, 12.900310261411292, 11.578183588701155, 11.87806143862298, 10.143206433690606, 11.227988258569875, 8.927555477225646, 9.627251462544676, 8.29118286656235]

Return: [0.0, 0.0, 0.0, -2.5, -2.0, -3.9460950649911046, -3.9460950649911046, -6.7544875832668625, -6.0345895288406215, -9.015224461938129, -9.015224461938129, -12.17667995039765, -12.17667995039765, -16.484462793937606, -13.9869882825049, -16.284384992498968, -12.36314252962847, -12.140378757110447, -8.183287883837657, -9.015224461938129, -9.015224461938129, -12.17667995039765, -12.17667995039765, -15.484462793937606, -15.484462793937606, -18.9162266177934, -18.9162266177934, -22.45614466324505, -22.45614466324505, -24.853804863705708, -22.186185640519223, -24.209136432425122, -21.654230455787545, -20.235722363403795, -15.886491020883014, -14.230951885215333, -14.230951885215333, -15.665893024035423, -14.085165279805661, -18.967061705146126, -18.19664229302361, -21.93352138221371, -22.211659349676456, -25.67667528285701, -23.110935469813178, -24.079795369703046, -21.835197725172716, -21.06847036242478, -17.90701487396526, -18.94921846904425, -17.612024260856593, -20.07622401473382, -21.054066527725194, -23.78438737132148, -25.27470483787023, -27.669490723138342, -29.939449745864167, -32.205706355748106, -31.376908212708724, -29.850717968673578]

Queue: [0, 0, 0, 0, 0, 0, 3, 4, 8, 12, 12, 16, 13, 16, 16, 18, 13, 14, 18, 22, 21, 25, 23, 29, 30, 36, 39, 44, 39, 41, 25, 22, 14, 10, 13, 18, 20, 27, 32, 39, 43, 45, 47, 50, 53, 53, 48, 47, 43, 45, 42, 46, 46, 50, 51, 54, 55, 58, 59, 62]

