*** Epoch: 0 ***

Queue: [0, 0, 0, 0, 0, 0, 4, 4, 8, 12, 12, 16, 16, 17, 16, 15, 15, 14, 18, 22, 23, 28, 31, 37, 41, 46, 48, 53, 48, 50]

Speed: [30.0, 29.32101228786119, 29.18329412774103, 26.69825576302855, 25.809576136688417, 23.488147463750533, 23.01196639809453, 21.15623062014972, 20.31689723723958, 18.63536042962753, 18.182931088761677, 16.61996874207123, 15.879824006135637, 13.199775915897192, 12.787830439754119, 11.049898717461234, 12.720107436579953, 12.351612016726254, 14.098589908647496, 13.426878770914504, 14.070983829022513, 12.195584610035628, 12.252885388276043, 10.231929208671627, 10.076239271852248, 8.217315774874484, 8.810053033322296, 7.069632244383264, 7.341576131711347, 6.203025856462204]

Return: [0.0, 0.0, 0.0, -2.0, -2.0, -4.5947934199881395, -4.5947934199881395, -7.4743856376931035, -7.4743856376931035, -10.556063286183154, -10.556063286183154, -13.797296614612147, -13.486988282504898, -17.017737551493084, -14.488952260615909, -16.00994943787811, -14.609230828089856, -15.405848313157971, -13.439074906433932, -14.900352547256482, -15.71066087936373, -19.116021512927407, -20.07622401473382, -22.635689016324445, -23.613531529315818, -26.25578937430681, -27.250083137379722, -29.54540353830104, -30.157466019171164, -30.433865551903033]

Queue: [0, 0, 0, 0, 0, 0, 3, 3, 6, 8, 12, 16, 18, 22, 24, 22, 17, 17, 16, 17, 17, 22, 25, 32, 37, 44, 41, 44, 41, 43]

Speed: [30.0, 29.32101228786119, 29.18329412774103, 27.474113852904154, 25.71241156452872, 23.624903079506254, 22.987560915522643, 20.379892575308453, 19.06304902616167, 16.698109103854325, 16.74303180957523, 15.129963598139192, 15.045079052620432, 12.053977099393933, 10.91586828472142, 8.794976148478995, 10.782562614500126, 10.811313850649265, 13.057245353529838, 12.860373097434369, 14.313029197695725, 13.060303903430437, 13.280068538399266, 11.351524311128491, 10.875521563438875, 8.545601191861675, 8.948465267955624, 8.048882330606446, 9.088381997779356, 8.094522492156619]

Return: [0.0, 0.0, 0.0, -2.0, -1.5, -3.9460950649911046, -3.9460950649911046, -6.5345895288406215, -5.385891173843587, -8.295326407511887, -8.295326407511887, -11.406260538275138, -11.406260538275138, -15.674154461830357, -13.986988282504898, -16.938276414268948, -15.31765975005445, -16.588915856927073, -13.041414705973272, -14.358192673553479, -15.128612085675993, -18.174860633240957, -19.944819655966782, -24.434746411242664, -25.394948913049078, -27.639546557579408, -27.676228190884338, -29.199808130225165, -29.796441692837416, -30.144040924998492]

Queue: [0, 0, 0, 0, 0, 0, 4, 4, 6, 10, 11, 15, 16, 20, 20, 18, 16, 16, 18, 22, 22, 24, 27, 35, 43, 50, 52, 52, 43, 39]

Speed: [30.0, 29.1017459251186, 29.18329412774103, 26.72309532289558, 25.517045044915523, 22.976130001472722, 21.200177274302497, 18.270168197694186, 18.233343610066783, 16.959935088539687, 17.683870274389758, 16.75257706683277, 17.10242700433483, 14.698105224544994, 13.78284018736894, 11.322689649024872, 12.696878340937124, 12.442145298344135, 13.881405484829575, 12.984655531126538, 12.884817999334526, 11.170140458231604, 11.382469001766948, 9.402493935298764, 9.571108070633452, 7.800103497815534, 7.822543360212114, 6.46293622616489, 7.534685425044425, 7.1803844530747245]

Return: [0.0, 0.0, 0.0, -2.0, -2.0, -5.0947934199881395, -4.5947934199881395, -7.2544875832668625, -6.105789228269828, -9.065745819634401, -9.065745819634401, -12.216568870382385, -12.216568870382385, -16.517737551493084, -14.830571372167627, -17.810575236534113, -16.189958572319618, -17.830159147050463, -15.09296632820391, -17.426542791291624, -17.05424396902646, -19.988320335192572, -20.948522836998986, -24.45378803336263, -25.431630546354004, -28.117389070570788, -28.617389070570788, -29.934866958500727, -28.682201932004904, -28.469300590737962]

*** Epoch: 1 ***

Queue: [0, 0, 0, 0, 0, 0, 2, 2, 6, 9, 13, 17, 21, 26, 28, 24, 18, 18, 20, 24, 24, 28, 28, 32, 32, 36, 36, 36, 35, 36]

Speed: [30.0, 29.32101228786119, 29.18329412774103, 27.474113852904154, 25.732624270593675, 23.116016460562093, 22.50072372448053, 20.17480794655067, 19.671885375253844, 17.396304888200568, 16.69381815380122, 14.05165124803773, 13.893407119067906, 11.402466016819126, 10.897498811349752, 8.818226806579906, 10.7588825840537, 10.922856420950708, 13.25312593444918, 13.040721294456722, 14.852930364299137, 13.845514223522722, 13.951849195836129, 12.924455944500831, 12.830765562869018, 11.531275330911576, 11.173834776025366, 9.641298043114157, 9.856819381185042, 8.496987326862186]

Return: [0.0, 0.0, 0.0, -2.0, -1.5, -3.2973967099940698, -3.2973967099940698, -6.0345895288406215, -6.0345895288406215, -9.015224461938129, -9.015224461938129, -12.17667995039765, -12.17667995039765, -16.484462793937606, -14.797296614612147, -17.781859503931678, -16.16124283971718, -17.804797768854968, -15.067604950008416, -17.40376417517476, -17.40376417517476, -20.86525847254431, -20.86525847254431, -24.434746411242664, -26.35515141485549, -28.09974905938582, -29.577591572377198, -30.412709471492107, -32.1145407098756, -31.194101893298075]

Queue: [0, 0, 0, 0, 1, 0, 3, 4, 8, 13, 14, 20, 21, 26, 22, 16, 12, 12, 15, 19, 19, 25, 27, 29, 32, 28, 29, 33, 36, 46]

